PRCL,NPRO,n_punct,title_len
4.0,2.0,6,9
5.0,2.0,15,8
3.0,2.0,16,11
3.0,5.0,27,11
8.0,8.0,21,12
3.0,2.0,8,9
9.0,6.0,56,8
17.0,21.0,60,7
3.0,3.0,7,10
4.0,4.0,7,8
3.0,2.0,17,8
2.0,2.0,8,8
5.0,3.0,15,9
3.0,4.0,11,10
8.0,4.0,21,12
2.0,2.0,7,7
6.0,6.0,14,7
3.0,3.0,24,8
3.0,5.0,7,10
5.0,6.0,13,9
2.0,11.0,15,6
2.0,3.0,13,8
3.0,6.0,22,9
8.0,7.0,13,8
7.0,6.0,13,8
5.0,10.0,22,9
10.0,12.0,14,8
3.0,3.0,5,12
14.0,5.0,24,9
2.0,2.0,8,10
2.0,2.0,20,8
3.0,4.0,11,6
15.0,8.0,15,9
3.0,2.0,4,9
3.0,5.0,47,8
8.0,4.0,11,8
5.0,10.0,25,12
10.0,15.0,27,13
20.0,14.0,42,11
14.0,19.0,18,12
3.0,3.0,14,9
9.0,8.0,15,10
3.0,2.0,12,8
20.0,5.0,30,7
4.0,2.0,36,8
3.0,3.0,14,8
3.0,2.0,12,8
3.0,3.0,10,14
4.0,2.0,36,10
2.0,3.0,9,11
7.0,3.0,26,6
3.0,5.0,12,8
2.0,3.0,29,9
3.0,3.0,7,10
3.0,3.0,5,9
2.0,11.0,23,8
3.0,2.0,9,9
10.0,5.0,12,9
2.0,4.0,11,10
2.0,4.0,12,12
11.0,14.0,50,9
3.0,3.0,23,12
2.0,3.0,10,9
3.0,4.0,22,11
3.0,4.0,15,8
2.0,2.0,22,12
3.0,3.0,13,7
3.0,4.0,62,7
3.0,3.0,4,10
7.0,4.0,14,9
3.0,4.0,10,8
3.0,4.0,37,8
12.0,6.0,13,11
3.0,3.0,24,9
10.0,7.0,22,12
11.0,9.0,26,8
3.0,4.0,23,10
3.0,2.0,8,9
27.0,34.0,51,14
7.0,6.0,77,6
2.0,3.0,25,9
3.0,3.0,19,8
18.0,12.0,69,9
61.0,15.0,68,7
3.0,3.0,9,9
3.0,3.0,10,14
3.0,3.0,12,8
35.0,25.0,189,6
2.0,2.0,16,12
9.0,13.0,20,9
5.0,3.0,14,8
5.0,5.0,16,10
3.0,3.0,18,10
5.0,2.0,5,12
3.0,3.0,6,7
7.0,4.0,17,11
9.0,7.0,15,8
2.0,3.0,4,9
3.0,3.0,8,9
7.0,2.0,22,9
3.0,3.0,21,7
6.0,10.0,11,8
4.0,2.0,23,9
2.0,3.0,15,8
3.0,11.0,16,6
3.0,3.0,20,14
3.0,7.0,21,12
3.0,5.0,19,10
6.0,4.0,21,12
3.0,3.0,20,9
3.0,5.0,17,12
3.0,3.0,13,8
3.0,2.0,19,8
3.0,3.0,12,7
6.0,4.0,14,9
3.0,3.0,8,10
3.0,2.0,54,9
11.0,6.0,20,9
4.0,6.0,30,11
49.0,25.0,111,6
3.0,3.0,15,12
7.0,5.0,12,9
2.0,9.0,15,11
2.0,3.0,20,9
3.0,3.0,5,13
3.0,3.0,7,10
2.0,6.0,14,9
2.0,3.0,23,10
5.0,4.0,20,9
2.0,3.0,9,7
3.0,3.0,10,8
2.0,3.0,17,9
3.0,3.0,5,9
4.0,4.0,54,8
3.0,3.0,7,8
3.0,7.0,14,12
3.0,9.0,19,8
25.0,23.0,81,11
2.0,2.0,8,10
4.0,5.0,25,9
6.0,9.0,17,9
4.0,3.0,21,10
4.0,16.0,101,9
34.0,26.0,81,11
3.0,3.0,5,10
3.0,2.0,55,11
15.0,10.0,35,6
2.0,3.0,12,7
5.0,5.0,25,12
11.0,10.0,9,10
7.0,6.0,8,8
8.0,12.0,52,11
6.0,2.0,23,9
7.0,2.0,9,9
2.0,2.0,39,10
8.0,13.0,36,11
34.0,18.0,43,6
38.0,25.0,123,11
7.0,4.0,15,14
2.0,2.0,11,7
4.0,3.0,39,7
2.0,4.0,11,9
8.0,15.0,33,9
7.0,5.0,22,10
3.0,3.0,34,12
5.0,6.0,19,9
3.0,3.0,10,9
6.0,5.0,37,13
2.0,10.0,14,9
4.0,2.0,26,10
3.0,2.0,11,11
7.0,6.0,15,10
3.0,3.0,20,10
2.0,3.0,31,11
12.0,4.0,36,11
6.0,3.0,24,11
8.0,4.0,13,13
3.0,11.0,25,8
4.0,7.0,23,14
2.0,3.0,6,10
3.0,2.0,10,12
3.0,2.0,14,10
7.0,3.0,10,10
3.0,3.0,9,9
5.0,4.0,15,10
4.0,2.0,25,10
3.0,3.0,9,9
16.0,23.0,45,10
2.0,2.0,23,8
3.0,3.0,9,6
9.0,7.0,17,12
8.0,10.0,16,6
24.0,24.0,98,10
5.0,12.0,26,10
12.0,6.0,22,10
3.0,3.0,10,8
8.0,8.0,24,8
3.0,3.0,23,9
8.0,9.0,17,8
2.0,3.0,28,9
3.0,3.0,6,10
4.0,3.0,18,9
2.0,3.0,10,9
2.0,2.0,15,10
9.0,17.0,42,7
3.0,4.0,15,7
6.0,7.0,12,10
7.0,2.0,16,10
8.0,8.0,11,8
5.0,5.0,19,8
12.0,3.0,23,9
12.0,28.0,202,10
5.0,6.0,25,13
4.0,3.0,12,9
3.0,3.0,8,8
2.0,2.0,11,9
3.0,3.0,6,10
4.0,2.0,10,8
3.0,2.0,23,8
3.0,2.0,10,6
3.0,3.0,5,10
16.0,6.0,48,9
8.0,5.0,29,7
7.0,3.0,20,10
4.0,2.0,27,11
3.0,3.0,21,12
8.0,3.0,23,10
8.0,2.0,11,8
17.0,4.0,25,10
3.0,2.0,30,10
12.0,5.0,34,11
3.0,4.0,9,8
5.0,2.0,26,8
15.0,9.0,23,10
6.0,9.0,22,12
2.0,3.0,13,8
8.0,4.0,15,12
23.0,22.0,33,7
5.0,9.0,28,11
3.0,2.0,9,7
3.0,4.0,27,7
2.0,5.0,19,14
18.0,8.0,30,7
6.0,2.0,15,9
2.0,3.0,34,12
2.0,8.0,11,11
3.0,3.0,4,10
2.0,3.0,16,9
34.0,18.0,54,10
6.0,4.0,17,9
3.0,3.0,15,10
3.0,3.0,18,8
8.0,6.0,21,11
7.0,3.0,20,9
7.0,4.0,31,11
11.0,6.0,21,9
3.0,3.0,10,9
3.0,5.0,25,10
2.0,2.0,39,10
5.0,5.0,18,9
2.0,3.0,23,8
6.0,7.0,15,9
4.0,3.0,24,9
10.0,2.0,18,10
3.0,3.0,13,10
3.0,2.0,14,8
3.0,5.0,12,12
16.0,9.0,31,10
3.0,3.0,11,10
3.0,3.0,7,12
5.0,4.0,13,10
3.0,4.0,31,11
2.0,2.0,10,10
3.0,6.0,16,7
2.0,6.0,20,10
3.0,3.0,34,9
5.0,9.0,29,10
6.0,6.0,12,10
9.0,5.0,17,10
3.0,3.0,7,6
2.0,5.0,15,8
5.0,3.0,5,11
3.0,2.0,101,6
3.0,6.0,21,12
2.0,2.0,7,9
6.0,4.0,15,8
3.0,5.0,24,6
5.0,5.0,36,11
3.0,3.0,27,11
39.0,4.0,71,6
3.0,2.0,15,12
3.0,8.0,16,9
3.0,3.0,14,9
2.0,3.0,19,7
4.0,2.0,18,6
4.0,3.0,25,6
3.0,3.0,4,8
7.0,3.0,15,8
5.0,9.0,12,8
21.0,11.0,37,9
4.0,4.0,20,9
3.0,2.0,16,8
2.0,4.0,10,7
2.0,3.0,11,9
6.0,4.0,56,8
31.0,38.0,49,8
8.0,17.0,27,10
3.0,5.0,23,10
10.0,12.0,23,10
4.0,4.0,22,10
5.0,7.0,22,7
3.0,3.0,22,6
7.0,8.0,22,14
3.0,2.0,6,10
5.0,8.0,17,9
3.0,3.0,17,8
2.0,3.0,21,6
3.0,3.0,4,8
12.0,5.0,11,9
3.0,3.0,14,9
2.0,7.0,28,13
7.0,8.0,25,10
3.0,3.0,16,7
2.0,3.0,14,10
10.0,10.0,44,9
5.0,9.0,20,10
3.0,2.0,53,7
2.0,7.0,20,11
17.0,13.0,64,8
5.0,4.0,4,9
5.0,3.0,20,9
3.0,3.0,32,11
9.0,7.0,20,8
4.0,7.0,22,11
3.0,2.0,53,9
10.0,2.0,15,12
5.0,7.0,227,11
3.0,10.0,17,7
5.0,5.0,31,7
3.0,3.0,19,8
6.0,7.0,25,11
7.0,5.0,21,9
8.0,6.0,17,7
4.0,2.0,13,9
12.0,4.0,11,11
2.0,6.0,16,10
5.0,2.0,41,11
4.0,2.0,23,12
3.0,3.0,7,6
6.0,11.0,26,10
8.0,8.0,42,9
18.0,11.0,91,8
2.0,2.0,24,8
3.0,3.0,24,11
4.0,3.0,33,10
9.0,10.0,13,10
3.0,2.0,43,11
2.0,3.0,20,8
4.0,5.0,40,11
3.0,3.0,4,10
2.0,5.0,19,8
5.0,2.0,9,7
6.0,5.0,15,11
6.0,6.0,22,12
3.0,8.0,9,9
4.0,8.0,29,7
3.0,2.0,8,9
3.0,5.0,17,9
8.0,6.0,7,10
9.0,5.0,19,9
6.0,5.0,6,10
3.0,3.0,5,12
2.0,3.0,59,10
20.0,8.0,47,7
3.0,3.0,17,11
2.0,3.0,25,9
4.0,2.0,21,11
6.0,4.0,10,10
11.0,11.0,24,9
5.0,6.0,34,10
3.0,3.0,7,14
2.0,2.0,21,11
9.0,5.0,24,9
11.0,4.0,31,10
8.0,2.0,32,8
7.0,6.0,22,9
3.0,3.0,9,8
3.0,3.0,11,11
2.0,3.0,18,12
3.0,3.0,6,10
7.0,9.0,30,8
2.0,3.0,11,6
4.0,3.0,13,12
3.0,2.0,39,8
4.0,5.0,46,13
3.0,3.0,13,7
3.0,5.0,14,10
5.0,6.0,25,10
2.0,4.0,13,8
2.0,8.0,20,10
6.0,4.0,37,7
5.0,7.0,15,9
3.0,3.0,12,8
9.0,9.0,27,9
8.0,8.0,16,9
4.0,3.0,16,7
8.0,7.0,12,8
3.0,3.0,17,12
6.0,9.0,47,7
2.0,3.0,10,8
5.0,4.0,14,9
19.0,5.0,23,8
3.0,3.0,18,10
3.0,3.0,17,11
3.0,3.0,10,11
15.0,9.0,21,10
5.0,4.0,22,8
3.0,3.0,8,8
23.0,15.0,39,7
10.0,7.0,32,7
3.0,2.0,10,7
3.0,3.0,14,7
7.0,3.0,7,10
4.0,7.0,21,9
3.0,3.0,27,7
2.0,7.0,19,11
15.0,20.0,31,10
6.0,2.0,19,7
3.0,3.0,6,8
5.0,8.0,15,8
7.0,9.0,10,8
2.0,3.0,22,11
2.0,6.0,12,7
